wid,ecoregion,start_year,end_year,tp_mean,tp_count,tp_tsi,eco_tp_min,eco_tp_max,chl_mean,chl_count,chl_tsc,eco_chl_min,eco_chl_max,transp_mean,transp_count,transp_tsi,eco_transp_min,eco_transp_max,overall_tsi
01-0330-00,NLF,1992,2001,,,,42,52,,,,44,53,1.68,5,52.56,38,47,52.56
01-0447-00,NLF,2000,2009,,,,42,52,,,,44,53,1.68,5,52.54,38,47,52.54
01-0104-00,NLF,2000,2009,26.1,10,51.19,42,52,7.71,9,50.64,44,53,1.98,17,50.15,38,47,50.66
01-0150-00,NLF,2000,2009,10,1,37.35,42,52,,,,44,53,,,,38,47,37.35
01-0152-00,NLF,1994,2003,72.11,3,65.84,42,52,,,,44,53,,,,38,47,65.84
01-0158-00,NLF,2000,2009,79,1,67.16,42,52,,,,44,53,,,,38,47,67.16
01-0185-00,NLF,2000,2009,30,1,53.2,42,52,,,,44,53,,,,38,47,53.2
01-0208-00,NLF,2000,2009,18,1,45.83,42,52,,,,44,53,,,,38,47,45.83
01-0101-00,NLF,1994,2003,,,,42,52,,,,44,53,2.1,1,49.31,38,47,49.31
01-0126-00,NLF,2000,2009,32,1,54.13,42,52,,,,44,53,,,,38,47,54.13
01-0024-00,NLF,2000,2009,34,2,55,42,52,12.41,1,55.31,44,53,,,,38,47,55.15
01-0031-00,NLF,2000,2009,24,1,49.98,42,52,,,,44,53,,,,38,47,49.98
01-0032-00,NLF,2000,2009,14,1,42.21,42,52,,,,44,53,,,,38,47,42.21
01-0059-00,NLF,2000,2009,9,1,35.83,42,52,6.2,1,48.5,44,53,2,1,50.01,38,47,44.78
01-0015-00,NLF,2000,2009,20,1,47.35,42,52,,,,44,53,,,,38,47,47.35
01-0019-00,NLF,2000,2009,60,1,63.19,42,52,,,,44,53,,,,38,47,63.19
03-0163-00,NLF,2000,2009,31,1,53.67,42,52,,,,44,53,3.8,1,40.76,38,47,47.22
02-0090-00,NCHF,2000,2009,,,,49,61,,,,46,61,1.68,17,52.52,43,54,52.52
02-0097-00,NCHF,1994,2003,49,12,60.27,49,61,16.71,12,58.22,46,61,0.65,12,66.28,43,54,61.59
02-0070-00,NCHF,2000,2009,,,,49,61,,,,46,61,1.91,19,50.69,43,54,50.69
02-0015-00,NCHF,2000,2009,57.24,29,62.51,49,61,21.44,27,60.67,46,61,0.62,16,66.84,43,54,63.34
02-0019-00,NCHF,2000,2009,350.5,20,88.64,49,61,24.92,18,62.14,46,61,0.43,3,72.05,43,54,74.28
02-0106-00,NCHF,2000,2009,,,,49,61,,,,46,61,2.55,18,46.51,43,54,46.51
02-0110-00,NCHF,2000,2009,32.25,4,54.24,49,61,,,,46,61,0.76,4,63.95,43,54,59.1
03-0134-00,NLF,2000,2009,20.67,3,47.82,42,52,,,,44,53,5.16,7,36.36,38,47,42.09
04-0022-00,NLF,1994,2003,26,5,51.13,42,52,,,,44,53,,,,38,47,51.13
04-0058-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
04-0062-00,NLF,1994,2003,,,,42,52,,,,44,53,,,,38,47,0
03-0387-00,NCHF,1992,2001,26.87,85,51.61,49,61,9.06,17,52.22,46,61,2.98,316,44.27,43,54,49.37
04-0130-00,NLF,1996,2005,,,,42,52,,,,44,53,2.85,139,44.91,38,47,44.91
06-0265-00,NGP,2000,2009,2133.33,1,114.69,73,77,,,,66,71,,,,63,73,114.69
07-0090-00,WCBP,2000,2009,364.67,3,89.21,64,76,58.17,3,70.46,64,74,1.39,19,55.22,60,70,71.63
